County,State,Round County N Imm,Origin,Origin (tooltip),County % by Origin,County N Imm,Round Total Imm Pop,Total Imm Pop
"Whitfield County, Georgia",Georgia,17800,Americas,Americas,0.000771861,17813,23078000,23077986
"Whitfield County, Georgia",Georgia,1400,Asia,Asia,0.000102114,1393,13641700,13641680
"Whitfield County, Georgia",Georgia,17200,Central America,Central America,0.001166081,17216,14764000,14763980
"Whitfield County, Georgia",Georgia,2200,"Central America, excluding Mexico","Central America, excl. Mexico",0.000622752,2188,3513400,3513439
"Whitfield County, Georgia",Georgia,17800,Latin America,Latin America,0.000798234,17770,22261600,22261633
"Whitfield County, Georgia",Georgia,15000,Mexico,Mexico,0.001335758,15028,11250500,11250541
"Whitfield County, Georgia",Georgia,2100,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",0.000688091,2072,3011200,3011229
"Whitfield County, Georgia",Georgia,19500,(All countries),all countries,0.000442044,19455,44011400,44011407
